Temperature,Relative Humidity,Dew Point
0.0,1.0,-50.04
0.0,2.0,-43.9
0.0,3.0,-40.12
0.0,4.0,-37.34
0.0,5.0,-35.14
0.0,6.0,-33.3
0.0,7.0,-31.72
0.0,8.0,-30.33
0.0,9.0,-29.09
0.0,10.0,-27.96
0.0,11.0,-26.94
0.0,12.0,-25.99
0.0,13.0,-25.11
0.0,14.0,-24.3
0.0,15.0,-23.53
0.0,16.0,-22.8
0.0,17.0,-22.12
0.0,18.0,-21.47
0.0,19.0,-20.85
0.0,20.0,-20.26
0.0,21.0,-19.7
0.0,22.0,-19.16
0.0,23.0,-18.64
0.0,24.0,-18.14
0.0,25.0,-17.66
0.0,26.0,-17.2
0.0,27.0,-16.75
0.0,28.0,-16.32
0.0,29.0,-15.9
0.0,30.0,-15.49
0.0,31.0,-15.1
0.0,32.0,-14.71
0.0,33.0,-14.34
0.0,34.0,-13.98
0.0,35.0,-13.62
0.0,36.0,-13.28
0.0,37.0,-12.94
0.0,38.0,-12.61
0.0,39.0,-12.29
0.0,40.0,-11.98
0.0,41.0,-11.67
0.0,42.0,-11.37
0.0,43.0,-11.07
0.0,44.0,-10.79
0.0,45.0,-10.5
0.0,46.0,-10.23
0.0,47.0,-9.96
0.0,48.0,-9.69
0.0,49.0,-9.43
0.0,50.0,-9.17
0.0,51.0,-8.92
0.0,52.0,-8.67
0.0,53.0,-8.43
0.0,54.0,-8.19
0.0,55.0,-7.95
0.0,56.0,-7.72
0.0,57.0,-7.49
0.0,58.0,-7.27
0.0,59.0,-7.05
0.0,60.0,-6.83
0.0,61.0,-6.61
0.0,62.0,-6.4
0.0,63.0,-6.19
0.0,64.0,-5.99
0.0,65.0,-5.78
0.0,66.0,-5.58
0.0,67.0,-5.39
0.0,68.0,-5.19
0.0,69.0,-5.0
0.0,70.0,-4.81
0.0,71.0,-4.62
0.0,72.0,-4.44
0.0,73.0,-4.25
0.0,74.0,-4.07
0.0,75.0,-3.89
0.0,76.0,-3.72
0.0,77.0,-3.54
0.0,78.0,-3.37
0.0,79.0,-3.2
0.0,80.0,-3.03
0.0,81.0,-2.87
0.0,82.0,-2.7
0.0,83.0,-2.54
0.0,84.0,-2.38
0.0,85.0,-2.22
0.0,86.0,-2.06
0.0,87.0,-1.9
0.0,88.0,-1.75
0.0,89.0,-1.59
0.0,90.0,-1.44
0.0,91.0,-1.29
0.0,92.0,-1.14
0.0,93.0,-0.99
0.0,94.0,-0.85
0.0,95.0,-0.7
0.0,96.0,-0.56
0.0,97.0,-0.42
0.0,98.0,-0.28
0.0,99.0,-0.14
0.0,100.0,0.0
0.05,1.0,-50.01
0.05,2.0,-43.87
0.05,3.0,-40.08
0.05,4.0,-37.31
0.05,5.0,-35.1
0.05,6.0,-33.26
0.05,7.0,-31.68
0.05,8.0,-30.29
0.05,9.0,-29.05
0.05,10.0,-27.92
0.05,11.0,-26.9
0.05,12.0,-25.95
0.05,13.0,-25.07
0.05,14.0,-24.25
0.05,15.0,-23.49
0.05,16.0,-22.76
0.05,17.0,-22.08
0.05,18.0,-21.43
0.05,19.0,-20.81
0.05,20.0,-20.22
0.05,21.0,-19.66
0.05,22.0,-19.12
0.05,23.0,-18.6
0.05,24.0,-18.1
0.05,25.0,-17.62
0.05,26.0,-17.16
0.05,27.0,-16.71
0.05,28.0,-16.27
0.05,29.0,-15.85
0.05,30.0,-15.45
0.05,31.0,-15.05
0.05,32.0,-14.67
0.05,33.0,-14.29
0.05,34.0,-13.93
0.05,35.0,-13.58
0.05,36.0,-13.23
0.05,37.0,-12.89
0.05,38.0,-12.57
0.05,39.0,-12.25
0.05,40.0,-11.93
0.05,41.0,-11.62
0.05,42.0,-11.32
0.05,43.0,-11.03
0.05,44.0,-10.74
0.05,45.0,-10.46
0.05,46.0,-10.18
0.05,47.0,-9.91
0.05,48.0,-9.64
0.05,49.0,-9.38
0.05,50.0,-9.13
0.05,51.0,-8.87
0.05,52.0,-8.63
0.05,53.0,-8.38
0.05,54.0,-8.14
0.05,55.0,-7.91
0.05,56.0,-7.67
0.05,57.0,-7.45
0.05,58.0,-7.22
0.05,59.0,-7.0
0.05,60.0,-6.78
0.05,61.0,-6.57
0.05,62.0,-6.36
0.05,63.0,-6.15
0.05,64.0,-5.94
0.05,65.0,-5.74
0.05,66.0,-5.54
0.05,67.0,-5.34
0.05,68.0,-5.14
0.05,69.0,-4.95
0.05,70.0,-4.76
0.05,71.0,-4.57
0.05,72.0,-4.39
0.05,73.0,-4.21
0.05,74.0,-4.03
0.05,75.0,-3.85
0.05,76.0,-3.67
0.05,77.0,-3.5
0.05,78.0,-3.32
0.05,79.0,-3.15
0.05,80.0,-2.98
0.05,81.0,-2.82
0.05,82.0,-2.65
0.05,83.0,-2.49
0.05,84.0,-2.33
0.05,85.0,-2.17
0.05,86.0,-2.01
0.05,87.0,-1.85
0.05,88.0,-1.7
0.05,89.0,-1.54
0.05,90.0,-1.39
0.05,91.0,-1.24
0.05,92.0,-1.09
0.05,93.0,-0.95
0.05,94.0,-0.8
0.05,95.0,-0.65
0.05,96.0,-0.51
0.05,97.0,-0.37
0.05,98.0,-0.23
0.05,99.0,-0.09
0.05,100.0,0.05
0.1,1.0,-49.98
0.1,2.0,-43.83
0.1,3.0,-40.05
0.1,4.0,-37.27
0.1,5.0,-35.06
0.1,6.0,-33.22
0.1,7.0,-31.64
0.1,8.0,-30.25
0.1,9.0,-29.01
0.1,10.0,-27.89
0.1,11.0,-26.86
0.1,12.0,-25.91
0.1,13.0,-25.03
0.1,14.0,-24.21
0.1,15.0,-23.45
0.1,16.0,-22.72
0.1,17.0,-22.04
0.1,18.0,-21.39
0.1,19.0,-20.77
0.1,20.0,-20.18
0.1,21.0,-19.62
0.1,22.0,-19.08
0.1,23.0,-18.56
0.1,24.0,-18.06
0.1,25.0,-17.58
0.1,26.0,-17.11
0.1,27.0,-16.66
0.1,28.0,-16.23
0.1,29.0,-15.81
0.1,30.0,-15.4
0.1,31.0,-15.01
0.1,32.0,-14.62
0.1,33.0,-14.25
0.1,34.0,-13.89
0.1,35.0,-13.53
0.1,36.0,-13.19
0.1,37.0,-12.85
0.1,38.0,-12.52
0.1,39.0,-12.2
0.1,40.0,-11.89
0.1,41.0,-11.58
0.1,42.0,-11.28
0.1,43.0,-10.98
0.1,44.0,-10.7
0.1,45.0,-10.41
0.1,46.0,-10.14
0.1,47.0,-9.86
0.1,48.0,-9.6
0.1,49.0,-9.34
0.1,50.0,-9.08
0.1,51.0,-8.83
0.1,52.0,-8.58
0.1,53.0,-8.34
0.1,54.0,-8.1
0.1,55.0,-7.86
0.1,56.0,-7.63
0.1,57.0,-7.4
0.1,58.0,-7.17
0.1,59.0,-6.95
0.1,60.0,-6.73
0.1,61.0,-6.52
0.1,62.0,-6.31
0.1,63.0,-6.1
0.1,64.0,-5.89
0.1,65.0,-5.69
0.1,66.0,-5.49
0.1,67.0,-5.29
0.1,68.0,-5.1
0.1,69.0,-4.9
0.1,70.0,-4.71
0.1,71.0,-4.53
0.1,72.0,-4.34
0.1,73.0,-4.16
0.1,74.0,-3.98
0.1,75.0,-3.8
0.1,76.0,-3.62
0.1,77.0,-3.45
0.1,78.0,-3.27
0.1,79.0,-3.1
0.1,80.0,-2.93
0.1,81.0,-2.77
0.1,82.0,-2.6
0.1,83.0,-2.44
0.1,84.0,-2.28
0.1,85.0,-2.12
0.1,86.0,-1.96
0.1,87.0,-1.8
0.1,88.0,-1.65
0.1,89.0,-1.49
0.1,90.0,-1.34
0.1,91.0,-1.19
0.1,92.0,-1.04
0.1,93.0,-0.9
0.1,94.0,-0.75
0.1,95.0,-0.6
0.1,96.0,-0.46
0.1,97.0,-0.32
0.1,98.0,-0.18
0.1,99.0,-0.04
0.1,100.0,0.1
0.15,1.0,-49.95
0.15,2.0,-43.8
0.15,3.0,-40.01
0.15,4.0,-37.24
0.15,5.0,-35.03
0.15,6.0,-33.19
0.15,7.0,-31.6
0.15,8.0,-30.21
0.15,9.0,-28.97
0.15,10.0,-27.85
0.15,11.0,-26.82
0.15,12.0,-25.87
0.15,13.0,-24.99
0.15,14.0,-24.17
0.15,15.0,-23.41
0.15,16.0,-22.68
0.15,17.0,-22.0
0.15,18.0,-21.35
0.15,19.0,-20.73
0.15,20.0,-20.14
0.15,21.0,-19.57
0.15,22.0,-19.03
0.15,23.0,-18.51
0.15,24.0,-18.02
0.15,25.0,-17.53
0.15,26.0,-17.07
0.15,27.0,-16.62
0.15,28.0,-16.19
0.15,29.0,-15.77
0.15,30.0,-15.36
0.15,31.0,-14.96
0.15,32.0,-14.58
0.15,33.0,-14.21
0.15,34.0,-13.84
0.15,35.0,-13.49
0.15,36.0,-13.14
0.15,37.0,-12.81
0.15,38.0,-12.48
0.15,39.0,-12.16
0.15,40.0,-11.84
0.15,41.0,-11.53
0.15,42.0,-11.23
0.15,43.0,-10.94
0.15,44.0,-10.65
0.15,45.0,-10.37
0.15,46.0,-10.09
0.15,47.0,-9.82
0.15,48.0,-9.55
0.15,49.0,-9.29
0.15,50.0,-9.03
0.15,51.0,-8.78
0.15,52.0,-8.53
0.15,53.0,-8.29
0.15,54.0,-8.05
0.15,55.0,-7.81
0.15,56.0,-7.58
0.15,57.0,-7.35
0.15,58.0,-7.13
0.15,59.0,-6.91
0.15,60.0,-6.69
0.15,61.0,-6.47
0.15,62.0,-6.26
0.15,63.0,-6.05
0.15,64.0,-5.85
0.15,65.0,-5.64
